geo_id_ads,region
9221301,Castilla y León
9209493,Castilla y León
9049250,Castilla y León
9211175,Castilla y León
1005450,Castilla y León
1005451,Castilla y León
1005454,Castilla y León
9222873,Castilla y León
9220777,Castilla y León
9215616,Castilla y León
9214633,Castilla y León
9221297,Castilla y León
9215208,Castilla y León
9047041,Castilla y León
1005453,Castilla y León
9211553,Castilla y León
9213586,Castilla y León
9220497,Castilla y León
9207444,Castilla y León
20291,Castilla y León
9220902,Castilla y León
9209795,Castilla y León
9208898,Castilla y León
9210436,Castilla y León
9047042,Castilla y León
9047049,Castilla y León
9193865,Castilla y León
9216871,Castilla y León
9220596,Castilla y León
9213895,Castilla y León
9221009,Castilla y León
9218585,Castilla y León
9215718,Castilla y León
9219038,Castilla y León
9216955,Castilla y León
9047044,Castilla y León
9216913,Castilla y León
9211495,Castilla y León
20275,Castilla y León
20298,Castilla y León
9049039,Castilla y León
9216721,Castilla y León
9222635,Castilla y León
9208117,Castilla y León
9213373,Castilla y León
1005449,Castilla y León
9212853,Castilla y León
9209134,Castilla y León
9217586,Castilla y León
9208763,Castilla y León
9213493,Castilla y León
20292,Castilla y León
9208798,Castilla y León
9216111,Castilla-La Mancha
9212682,Castilla-La Mancha
9218668,Castilla-La Mancha
9212021,Castilla-La Mancha
9049180,Castilla-La Mancha
9209365,Castilla-La Mancha
9216190,Castilla-La Mancha
9210074,Castilla-La Mancha
9207351,Castilla-La Mancha
9221758,Castilla-La Mancha
9207825,Castilla-La Mancha
20296,Castilla-La Mancha
9212825,Castilla-La Mancha
9214073,Castilla-La Mancha
9219428,Castilla-La Mancha
9190077,Castilla-La Mancha
9049051,Castilla-La Mancha
9213446,Castilla-La Mancha
9049126,Castilla-La Mancha
9049216,Castilla-La Mancha
9207083,Castilla-La Mancha
9214317,Castilla-La Mancha
1005456,Castilla-La Mancha
9049133,Castilla-La Mancha
9222183,Castilla-La Mancha
9049243,Castilla-La Mancha
9207119,Castilla-La Mancha
9217714,Castilla-La Mancha
9215298,Castilla-La Mancha
9213431,Castilla-La Mancha
9210223,Castilla-La Mancha
9047057,Castilla-La Mancha
9216517,Castilla-La Mancha
9049219,Castilla-La Mancha
9222774,Castilla-La Mancha
9222742,Castilla-La Mancha
9215506,Castilla-La Mancha
9212675,Castilla-La Mancha
9209343,Castilla-La Mancha
9208806,Castilla-La Mancha
9207829,Castilla-La Mancha
9207901,Castilla-La Mancha
9049046,Castilla-La Mancha
1005459,Castilla-La Mancha
9221059,Castilla-La Mancha
9208904,Castilla-La Mancha
1005457,Castilla-La Mancha
9048976,Castilla-La Mancha
9049105,Castilla-La Mancha
9217161,Castilla-La Mancha
9222325,Castilla-La Mancha
9049083,Castilla-La Mancha
9217000,Castilla-La Mancha
1005534,Castilla-La Mancha
9214465,Castilla-La Mancha
9221935,Castilla-La Mancha
1005455,Castilla-La Mancha
1005460,Castilla-La Mancha
9214681,Castilla-La Mancha
9191575,Castilla-La Mancha
9048998,Castilla-La Mancha
9220818,Castilla-La Mancha
9049234,Castilla-La Mancha
9217833,Castilla-La Mancha
9047058,Castilla-La Mancha
9218755,Castilla-La Mancha
9216816,Castilla-La Mancha
20276,Castilla-La Mancha
9049029,Castilla-La Mancha
9219060,Castilla-La Mancha
